,,,,,不獨表，防作弊,血量不要為0,,不讀表,,遊戲中/10000,,不讀表,遊戲中/100,不讀表,不讀表，在武器prefab中設定,,,,,不讀表,不讀表,不讀表,不讀表,不讀表,遊戲中/100,"遊戲中/100 (+ => 上, - =>下)",,,,,,,,,,,,
2002,床弩,W_,Arcuballista,3,4,440,0,,0.5,0,520,,50,,0,30,0.3,0,0.6,,,,,,0,0,0,0,,自動發射的弓箭，直線攻擊敵人。,,,,特殊武器,3,,1.333333333,
2002,床弩,W_,Arcuballista,4,4,660,0,,0.5,0,780,,50,,0,30,0.3,0,0.6,,,,,,0,0,0,0,,自動發射的弓箭，直線攻擊敵人。,,,,特殊武器,4,,1.5,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,魚叉槍,W_,Harpoon,0,4,335,0,336,0.75,0,215,0.65,30,遠,0,30,3,0.5,1.5,1,,拉近至近戰範圍,,我方,0,0,0,0,,向前穿刺攻擊，後方有線連接，攻擊後會往回拉扯。,可燃物,電磁力,,,,,,
2003,魚叉槍,W_,Harpoon,1,4,402,0,,0.75,0,258,,30,,0,30,3,0.5,1.5,,,,,,0,0,0,0,,向前穿刺攻擊，後方有線連接，攻擊後會往回拉扯。,,,,,,,,
2003,魚叉槍,W_,Harpoon,2,4,503,0,,0.75,0,323,,30,,0,30,3,0.5,1.5,,,,,,0,0,0,0,,向前穿刺攻擊，後方有線連接，攻擊後會往回拉扯。,,,,,,,,
2003,魚叉槍,W_,Harpoon,3,4,671,0,,0.75,0,431,,30,,0,30,3,0.5,1.5,,,,,,0,0,0,0,,向前穿刺攻擊，後方有線連接，攻擊後會往回拉扯。,,,,,,,,
2003,魚叉槍,W_,Harpoon,4,4,1007,0,,0.75,0,647,,30,,0,30,3,0.5,1.5,,,,,,0,0,0,0,,向前穿刺攻擊，後方有線連接，攻擊後會往回拉扯。,,,,,,,,
,,,,,,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,泡泡槍,W_,Bubblegun,0,4,360,0,360,0.25,0,20,0.5,300,中,40,30,9,1,5,1,,減重 0.6kg,,敵方,-60,0,0,0,,發射泡泡，使對手船體向後傾。,金屬,乙太能量,,,,,,
2004,泡泡槍,W_,Bubblegun,1,4,432,0,,0.25,0,24,,300,,40,30,9,1,5,,,,,,60,0,0,0,,發射泡泡，使對手船體向後傾。,,,,,,,,
2004,泡泡槍,W_,Bubblegun,2,4,540,0,,0.25,0,30,,300,,40,30,9,1,5,,,,,,60,0,0,0,,發射泡泡，使對手船體向後傾。,,,,,,,,
2004,泡泡槍,W_,Bubblegun,3,4,720,0,,0.25,0,40,,300,,40,30,9,1,5,,,,,,60,0,0,0,,發射泡泡，使對手船體向後傾。,,,,,,,,
2004,泡泡槍,W_,Bubblegun,4,4,1080,0,,0.25,0,60,,300,,40,30,9,1,5,,,,,,60,0,0,0,,發射泡泡，使對手船體向後傾。,,,,,,,,
,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,彈弓,W_,Slingshot,0,4,360,0,360,0.25,0,70,0.5,70,中,40,30,8,0,5,1,,加重 2.5kg,,敵方,250,0,0,0,,拋投沙包，使對手船體變重。,可燃物,物理,,,,,,
2005,彈弓,W_,Slingshot,1,4,432,0,,0.25,0,84,,70,,40,30,8,0,5,,,,,,250,0,0,0,,拋投沙包，使對手船體變重。,,,,,,,,
2005,彈弓,W_,Slingshot,2,4,540,0,,0.25,0,105,,70,,40,30,8,0,5,,,,,,250,0,0,0,,拋投沙包，使對手船體變重。,,,,,,,,
2005,彈弓,W_,Slingshot,3,4,720,0,,0.25,0,140,,70,,40,30,8,0,5,,,,,,250,0,0,0,,拋投沙包，使對手船體變重。,,,,,,,,
2005,彈弓,W_,Slingshot,4,4,1080,0,,0.25,0,210,,70,,40,30,8,0,5,,,,,,250,0,0,0,,拋投沙包，使對手船體變重。,,,,,,,,
,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,機槍塔,W_,Machinegun,0,4,400,0,400,0.5,0,24,1.2,500,近,15,30,9,0,5,1,,,,,0,0,0,0,,威力較小但可連續發射。,金屬,電磁力,,,,,,
2006,機槍塔,W_,Machinegun,1,4,480,0,,0.5,0,29,,500,,15,30,9,0,5,,,,,,0,0,0,0,,威力較小但可連續發射。,,,,,,,,
2006,機槍塔,W_,Machinegun,2,4,600,0,,0.5,0,36,,500,,15,30,9,0,5,,,,,,0,0,0,0,,威力較小但可連續發射。,,,,,,,,
2006,機槍塔,W_,Machinegun,3,4,800,0,,0.5,0,48,,500,,15,30,9,0,5,,,,,,0,0,0,0,,威力較小但可連續發射。,,,,,,,,
2006,機槍塔,W_,Machinegun,4,4,1200,0,,0.5,0,72,,500,,15,30,9,0,5,,,,,,0,0,0,0,,威力較小但可連續發射。,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,魚雷,W_,Torpedo,0,4,315,0,312,0.75,0,180,0.6,33,遠,-45,45,0,0,5,1,,70°~20°,,敵方,0,0,0,0,,安裝在船底，於水下發動攻擊。,金屬,燃燒,,,,,,
2007,魚雷,W_,Torpedo,1,4,378,0,,0.75,0,216,,33,,-1,45,0,0,5,,,,,,0,0,0,0,,安裝在船底，於水下發動攻擊。,,,,,,,,
2007,魚雷,W_,Torpedo,2,4,473,0,,0.75,0,270,,33,,-1,45,0,0,5,,,,,,0,0,0,0,,安裝在船底，於水下發動攻擊。,,,,,,,,
2007,魚雷,W_,Torpedo,3,4,631,0,,0.75,0,360,,33,,-1,45,0,0,5,,,,,,0,0,0,0,,安裝在船底，於水下發動攻擊。,,,,,,,,
2007,魚雷,W_,Torpedo,4,4,947,0,,0.75,0,540,,33,,-1,45,0,0,5,,,,,,0,0,0,0,,安裝在船底，於水下發動攻擊。,,,,,,,,
,,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,艦砲,W_,Navalgun,0,4,240,0,240,0.75,0,240,1.2,50,遠,50,30,6,0,5,1,,,,,0,0,0,0,,砲管對空發射、採高拋物線攻擊。,金屬,燃燒,,,,,,
2008,艦砲,W_,Navalgun,1,4,288,0,,0.75,0,288,,50,,50,30,6,0,5,,,,,,0,0,0,0,,砲管對空發射、採高拋物線攻擊。,,,,,,,,
2008,艦砲,W_,Navalgun,2,4,360,0,,0.75,0,360,,50,,50,30,6,0,5,,,,,,0,0,0,0,,砲管對空發射、採高拋物線攻擊。,,,,,,,,
2008,艦砲,W_,Navalgun,3,4,480,0,,0.75,0,480,,50,,50,30,6,0,5,,,,,,0,0,0,0,,砲管對空發射、採高拋物線攻擊。,,,,,,,,
2008,艦砲,W_,Navalgun,4,4,720,0,,0.75,0,720,,50,,50,30,6,0,5,,,,,,0,0,0,0,,砲管對空發射、採高拋物線攻擊。,,,,,,,,
,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,電鋸,W_,Chainsaw,0,4,640,0,696,0.75,0,60,4,600,近,0,0,0,0,5,1,,,,,0,0,0,0,,攻擊距離短但能持續造成大量傷害。,金屬,電磁力,,,,,,
2009,電鋸,W_,Chainsaw,1,4,768,0,,0.75,0,72,,600,,0,0,0,0,5,,,,,,0,0,0,0,,攻擊距離短但能持續造成大量傷害。,,,,,,,,
2009,電鋸,W_,Chainsaw,2,4,960,0,,0.75,0,90,,600,,0,0,0,0,5,,,,,,0,0,0,0,,攻擊距離短但能持續造成大量傷害。,,,,,,,,
2009,電鋸,W_,Chainsaw,3,4,1280,0,,0.75,0,120,,600,,0,0,0,0,5,,,,,,0,0,0,0,,攻擊距離短但能持續造成大量傷害。,,,,,,,,
2009,電鋸,W_,Chainsaw,4,4,1920,0,,0.75,0,180,,600,,0,0,0,0,5,,,,,,0,0,0,0,,攻擊距離短但能持續造成大量傷害。,,,,,,,,
,,,,,,,,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,天火,W_,Railgun,0,4,300,0,300,1,0,370,1.3,35,遠,80,145,45,0,5,1,,,,,0,0,0,0,,朝向天空續力後發射電漿砲，宛如天空的火焰自天上墜落，傷害極高。,乙太合金,電磁力,,,,,,
2010,天火,W_,Railgun,1,4,360,0,,1,0,444,,35,,80,150,45,0,5,,,,,,0,0,0,0,,,,,,,,,,
2010,天火,W_,Railgun,2,4,450,0,,1,0,555,,35,,80,150,45,0,5,,,,,,0,0,0,0,,,,,,,,,,
2010,天火,W_,Railgun,3,4,600,0,,1,0,740,,35,,80,150,45,0,5,,,,,,0,0,0,0,,,,,,,,,,
2010,天火,W_,Railgun,4,4,900,0,,1,0,1110,,35,,80,150,45,0,5,,,,,,0,0,0,0,,,,,,,,,,
,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,青蛙砲,W_,Frogcannon,0,4,500,0,500,0.2,0,78,,100,,70,100,16,1.6,5,,,,,,60,0,0,0,,朝向天空發射，隨後下起青蛙雨，使船體變重。,,,,,,,,
2011,青蛙砲,W_,Frogcannon,1,4,625,0,,0.2,0,93.6,,100,,70,100,16,1.6,5,,,,,,60,0,0,0,,,,,,,,,,
2011,青蛙砲,W_,Frogcannon,2,4,875,0,,0.2,0,117,,100,,70,100,16,1.6,5,,,,,,60,0,0,0,,,,,,,,,,
2011,青蛙砲,W_,Frogcannon,3,4,1250,0,,0.2,0,156,,100,,70,100,16,1.6,5,,,,,,60,0,0,0,,,,,,,,,,
2011,青蛙砲,W_,Frogcannon,4,4,2125,0,,0.2,0,234,,100,,70,100,16,1.6,5,,,,,,60,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,爪子,W_,Claw,0,4,300,0,300,0.2,0,300,,20,,60,40,12,0.5,2,,,,,,0,0,0,0,,向前拋出，抓到後往回拉扯。沒有夾到卻鬆開的問題,,,,,,,,
2012,爪子,W_,Claw,1,4,375,0,,0.2,0,360,,20,,60,40,12,0.5,2,,,,,,0,0,0,0,,,,,,,,,,
2012,爪子,W_,Claw,2,4,525,0,,0.2,0,450,,20,,60,40,12,0.5,2,,,,,,0,0,0,0,,,,,,,,,,
2012,爪子,W_,Claw,3,4,750,0,,0.2,0,600,,20,,60,40,12,0.5,2,,,,,,0,0,0,0,,,,,,,,,,
2012,爪子,W_,Claw,4,4,1275,0,,0.2,0,900,,20,,60,40,12,0.5,2,,,,,,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,雷射,W_,Laser,0,4,300,0,300,1,0,100,1.3,30,遠,0,60,0,0,1,5,,,,,0,0,0,0,,需要充能一段時間後才能攻擊，攻擊距離短，但傷害很高,乙太合金,電磁力,,,,,,
2013,雷射,W_,Laser,1,4,360,0,,1,0,120,,30,,0,60,0,0,1,,,,,,0,0,0,0,,,,,,,,,,
2013,雷射,W_,Laser,2,4,450,0,,1,0,150,,30,,0,60,0,0,1,,,,,,0,0,0,0,,,,,,,,,,
2013,雷射,W_,Laser,3,4,600,0,,1,0,200,,30,,0,60,0,0,1,,,,,,0,0,0,0,,,,,,,,,,
2013,雷射,W_,Laser,4,4,900,0,,1,0,300,,30,,0,60,0,0,1,,,,,,0,0,0,0,,,,,,,,,,
,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,大槌,W_,Hammer,0,4,500,0,500,0.2,0,258,,70,,0,0,0,0,5,,,,,,0,-3500,0,0,,重重的向下揮出，將船砸向地心,,,,,,,,
2014,大槌,W_,Hammer,1,4,625,0,,0.2,0,309.6,,70,,0,0,0,0,5,,,,,,0,-3500,0,0,,,,,,,,,,
2014,大槌,W_,Hammer,2,4,875,0,,0.2,0,387,,70,,0,0,0,0,5,,,,,,0,-3500,0,0,,,,,,,,,,
2014,大槌,W_,Hammer,3,4,1250,0,,0.2,0,516,,70,,0,0,0,0,5,,,,,,0,-3500,0,0,,,,,,,,,,
2014,大槌,W_,Hammer,4,4,2125,0,,0.2,0,774,,70,,0,0,0,0,5,,,,,,0,-3500,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,三叉戟,W_,Trident,0,4,580,0,580,0.5,0,30,4,200,近,0,0,0,0,0.5,1,,＋ 80% ATK / 1m <= 900% ATK,,,0,0,0,0,,沒有花里胡哨的魔法，酷炫的海浪特效，只是不斷地向上戳。海神就是這麼單純。,乙太合金,乙太能量,,,,,,
2015,三叉戟,W_,Trident,1,4,696,0,,0.5,0,36,,200,,0,0,0,0,5,,,,,,0,0,0,0,,,,,,,,,,
2015,三叉戟,W_,Trident,2,4,870,0,,0.5,0,45,,200,,0,0,0,0,5,,,,,,0,0,0,0,,,,,,,,,,
2015,三叉戟,W_,Trident,3,4,1160,0,,0.5,0,60,,200,,0,0,0,0,5,,,,,,0,0,0,0,,,,,,,,,,
2015,三叉戟,W_,Trident,4,4,1740,0,,0.5,0,90,,200,,0,0,0,0,5,,,,,,0,0,0,0,,,,,,,,,,
,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,霰彈槍,W_,Shotgun,0,4,400,0,400,0.5,0,70,1.4,65,近,0,30,0,0,0.4,1,,一次攻擊 5顆子彈,,,0,0,0,0,,,金屬,燃燒,,,,,,
2016,霰彈槍,W_,Shotgun,1,4,480,0,,0.5,0,84,,65,,0,30,0,0,0.3,,,,,,0,0,0,0,,,,,,,,,,
2016,霰彈槍,W_,Shotgun,2,4,600,0,,0.5,0,105,,65,,0,30,0,0,0.3,,,,,,0,0,0,0,,,,,,,,,,
2016,霰彈槍,W_,Shotgun,3,4,800,0,,0.5,0,140,,65,,0,30,0,0,0.3,,,,,,0,0,0,0,,,,,,,,,,
2016,霰彈槍,W_,Shotgun,4,4,1200,0,,0.5,0,210,,65,,0,30,0,0,0.3,,,,,,0,0,0,0,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,海賊彎刀,W_,Cutlass,0,4,520,0,464,0.25,0,170,4,100,近,0,0,0,0,0.5,3,,,3m內觸發攻擊,,0,0,0,0,,,金屬,物理,,,,,,
2017,海賊彎刀,W_,Cutlass,1,4,624,0,,0.25,0,204,,100,,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,,
2017,海賊彎刀,W_,Cutlass,2,4,780,0,,0.25,0,255,,100,,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,,
2017,海賊彎刀,W_,Cutlass,3,4,1040,0,,0.25,0,340,,100,,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,,
2017,海賊彎刀,W_,Cutlass,4,4,1560,0,,0.25,0,510,,100,,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,,
,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,水雷,W_,Naval_mine,0,4,480,0,480,0.75,0,40,1.2,70,近,45,20,5,1,3,1,,＋ 80% ATK / 0.2s <= 900% ATK,,,0,0,0,0,,,乙太合金,燃燒,,,,,,
2018,水雷,W_,Naval_mine,1,4,576,0,,0.75,0,48,,70,,45,20,5,1,3,,,,,,0,0,0,0,,,,,,,,,,
2018,水雷,W_,Naval_mine,2,4,720,0,,0.75,0,60,,70,,45,20,5,1,3,,,,,,0,0,0,0,,,,,,,,,,
2018,水雷,W_,Naval_mine,3,4,960,0,,0.75,0,80,,70,,45,20,5,1,3,,,,,,0,0,0,0,,,,,,,,,,
2018,水雷,W_,Naval_mine,4,4,1440,0,,0.75,0,120,,70,,45,20,5,1,3,,,,,,0,0,0,0,,,,,,,,,,
,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,火焰噴射器,W_,Flamethrower,0,4,580,0,600,1,0,90,1.4,75,近,0,10,0,0,0.7,3,,50%攻擊力的燃燒傷害,,敵方,0,0,0,0,,,金屬,燃燒,,,,,,
2019,火焰噴射器,W_,Flamethrower,1,4,696,0,,1,0,108,,75,,0,10,0,0,0.45,,,,,,0,0,0,0,,,,,,,,,,
2019,火焰噴射器,W_,Flamethrower,2,4,870,0,,1,0,135,,75,,0,10,0,0,0.45,,,,,,0,0,0,0,,,,,,,,,,
2019,火焰噴射器,W_,Flamethrower,3,4,1160,0,,1,0,180,,75,,0,10,0,0,0.45,,,,,,0,0,0,0,,,,,,,,,,
2019,火焰噴射器,W_,Flamethrower,4,4,1740,0,,1,0,270,,75,,0,10,0,0,0.45,,,,,,0,0,0,0,,,,,,,,,,
,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,船帆,P_,Sail,0,4,500,0,500,0.2,200,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,巨大船帆，借助風的力量提供船加速航行。,,,,,,,,
3001,船帆,P_,Sail,1,4,625,0,,0.2,240,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,巨大船帆，借助風的力量提供船加速航行。,,,,,,,,
3001,船帆,P_,Sail,2,4,875,0,,0.2,320,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,巨大船帆，借助風的力量提供船加速航行。,,,,,,,,
3001,船帆,P_,Sail,3,4,1250,0,,0.2,500,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,巨大船帆，借助風的力量提供船加速航行。,,,,,,,,
3001,船帆,P_,Sail,4,4,2125,0,,0.2,800,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,巨大船帆，借助風的力量提供船加速航行。,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,人力獎,P_,Paddle,0,4,400,0,400,0.2,100,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,由船艙底的奴隸驅動，速度稍慢。,,,,,,,,
3002,人力獎,P_,Paddle,1,4,500,0,,0.2,120,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,由船艙底的奴隸驅動，速度稍慢。,,,,,,,,
3002,人力獎,P_,Paddle,2,4,700,0,,0.2,160,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,由船艙底的奴隸驅動，速度稍慢。,,,,,,,,
3002,人力獎,P_,Paddle,3,4,1000,0,,0.2,250,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,由船艙底的奴隸驅動，速度稍慢。,,,,,,,,
3002,人力獎,P_,Paddle,4,4,1700,0,,0.2,400,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,由船艙底的奴隸驅動，速度稍慢。,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,側輪,P_,Wheel,0,4,400,0,400,0.2,100,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,用蒸汽推動的大型水車，掛在船體側邊。,,,,,,,,
3003,側輪,P_,Wheel,1,4,500,0,,0.2,120,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,用蒸汽推動的大型水車，掛在船體側邊。,,,,,,,,
3003,側輪,P_,Wheel,2,4,700,0,,0.2,160,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,用蒸汽推動的大型水車，掛在船體側邊。,,,,,,,,
3003,側輪,P_,Wheel,3,4,1000,0,,0.2,250,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,用蒸汽推動的大型水車，掛在船體側邊。,,,,,,,,
3003,側輪,P_,Wheel,4,4,1700,0,,0.2,400,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,用蒸汽推動的大型水車，掛在船體側邊。,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,渦輪,P_,Turbine,0,4,200,0,200,0.2,100,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,噴水推進，速度快但容易損毀。,,,,,,,,
3004,渦輪,P_,Turbine,1,4,250,0,,0.2,120,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,噴水推進，速度快但容易損毀。,,,,,,,,
3004,渦輪,P_,Turbine,2,4,350,0,,0.2,160,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,噴水推進，速度快但容易損毀。,,,,,,,,
